ID,Title,Severity,Effort,PersonDays,Category,Status,ImpactedFiles,WCAG,Rationale
F-01,"@testing-library/dom missing breaks component tests and typecheck",High,XS,0.25,Tooling,Fixed,web/package.json,,"screen import fails; ui.test.tsx cannot load; CI cannot enforce component quality"
F-02,"Input label not associated; error not linked via aria-describedby",High,S,0.5,Accessibility,Fixed,web/src/components/ui/Input.tsx,"1.3.1;3.3.2;4.1.2","Shared on every form; screen readers cannot name fields or announce errors"
F-03,"Modal lacks focus trap, focus return, and dialog label",High,M,1,Accessibility,Fixed,web/src/components/ui/Modal.tsx,"2.4.3;2.1.2;4.1.2","Keyboard/SR users can escape the dialog; focus lost on close"
F-04,"User image URL rendered without scheme validation (javascript:/data:)",High,S,0.5,Security,Fixed,"web/src/lib/security/url.ts;web/src/features/products/ProductForm.tsx;web/src/lib/validation/product.ts",,"Defence-in-depth against reflected script URLs in img src"
F-05,"No CSP or security response headers; fonts via CDN",High,S,0.5,Security,Fixed/Documented,"web/public/_headers;web/index.html;docs/security-headers.md",,"No CSP/HSTS/nosniff/Referrer/Permissions-Policy; authoritative headers must be server-set"
F-06,"Product form bypasses zod; no per-field errors; no double-submit guard",Medium,M,1,Validation,Fixed,"web/src/features/products/ProductForm.tsx;web/src/lib/validation/product.ts","3.3.1;3.3.3","Inconsistent with project pattern; duplicate submissions possible"
F-07,"HTTP errors collapse 403/429/5xx/timeout; no timeout; no Retry-After",Medium,S,0.5,Security,Fixed,"web/src/lib/axios.ts;web/src/lib/http/errors.ts",,"Users get generic Network error; requests can hang; no backoff on 429"
F-08,"Toast always green tick; single polite region; no dismiss",Medium,S,0.5,Accessibility,Fixed,web/src/components/ui/Toast.tsx,"1.4.1;4.1.3;2.2.1","Errors look like success; not announced assertively; colour-only status"
F-09,"DataTable headers lack scope, aria-busy, caption",Medium,XS,0.25,Accessibility,Fixed,web/src/components/ui/DataTable.tsx,"1.3.1;4.1.2","Header/cell association and loading state not exposed"
F-10,"SearchCombobox missing ARIA 1.2 combobox wiring",Medium,S,0.5,Accessibility,Fixed,web/src/components/ui/SearchCombobox.tsx,"4.1.2","SR cannot track active option or name the field"
F-11,"No dependency scanning or CI; dev deps had high/critical advisories",Medium,S,0.5,Supply-chain,Fixed,".github/workflows/ci.yml;.github/dependabot.yml;web/package.json;web/vite.config.ts",,"Upgraded to vite 8 / vitest 4 / plugin-react 5; npm audit now 0 vulns; CI + Dependabot added"
F-12,"@eslint/js ^10 mismatched with eslint ^9 (needs --legacy-peer-deps)",Low,XS,0.1,Tooling,Fixed,web/package.json,,"Clean installs fail without a workaround"
F-13,"Button loading state not exposed as aria-busy",Low,XS,0.1,Accessibility,Fixed,web/src/components/ui/Button.tsx,"4.1.2","Loading not programmatically conveyed"
F-14,"confirmDialog uses native window.confirm for destructive actions",Medium,M,1,UX,Follow-up,web/src/components/ui/Modal.tsx,,"Unstyled, unthemeable, blocks the event loop"
F-15,"App-wide inline styles force CSP style-src unsafe-inline",Medium,L,3,Security,Follow-up,web/src/**,,"Blocks a strict nonce/hash-based CSP"
F-16,"Self-host Google Fonts to drop third-party CDN",Low,M,1,Performance/Privacy,Follow-up,"web/index.html;web/public/fonts",,"Removes third-party dependency; enables tighter font-src/style-src"
F-17,"Roll hardened Input+zod pattern across all remaining forms",Medium,L,2,Accessibility/Validation,Follow-up,web/src/features/**,"1.3.1;3.3.1","Customer/employee/category/settings forms still need labelling+schema"
F-18,"Step-up reauthentication for sensitive admin actions",Medium,L,0.5,Security,Follow-up/Documented,"web/src/features/admin/**;web/src/lib/rbac.ts",,"Role edits and security settings lack client-side reauth"
